Fecha,CodigoPlanta,TipoGeneracion,TipoClasificacion,TipoDespachoRecurso,GeneracionRealEstimada kWh,GeneracionProgramadaDespacho kWh,GeneracionProgramadaRedespacho kWh
2013-01-31,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2868765.75,2868765.75,2872000.0
2013-01-31,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3360000.0,3360000.0,3480000.0
2013-01-31,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13150201.0,13150201.0,13440000.0
2013-01-31,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9226221.0,9226221.0,9720000.0
2013-01-30,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-30,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3387120.0,3387120.0,3480000.0
2013-01-30,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,89700.0,89700.0,0.0
2013-01-30,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13390635.0,13390635.0,13440000.0
2013-01-29,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3130440.0,3130440.0,3115000.0
2013-01-29,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-01-29,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,331972.41,331972.41,309000.0
2013-01-29,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12254833.0,12254833.0,11795640.0
2013-01-28,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,7699021.0,7699021.0,7908980.0
2013-01-28,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3435060.0,3435060.0,3480000.0
2013-01-28,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13379785.0,13379785.0,13440000.0
2013-01-28,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2025682.75,2025682.75,1969000.0
2013-01-27,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2591205.0,2591205.0,2701000.0
2013-01-27,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13403400.0,13403400.0,13440000.0
2013-01-27,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,53360.0,53360.0,0.0
2013-01-27,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3441600.0,3441600.0,3480000.0
2013-01-26,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13048454.0,13048454.0,13090000.0
2013-01-26,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2771477.5,2771477.5,2824000.0
2013-01-26,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-01-26,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,1544460.0,1544460.0,1522000.0
2013-01-25,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2597602.25,2597602.25,2618000.0
2013-01-25,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,3063140.25,3063140.25,1660470.0
2013-01-25,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13358096.0,13358096.0,13440000.0
2013-01-25,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-24,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,5433060.5,5433060.5,5088000.0
2013-01-24,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2834509.5,2834509.5,2820160.0
2013-01-24,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-24,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13358538.0,13358538.0,13440000.0
2013-01-23,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13366338.0,13366338.0,13440000.0
2013-01-23,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2142482.5,2142482.5,2717000.0
2013-01-23,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,2167520.25,2167520.25,1098360.0
2013-01-23,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-22,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,11983503.5,11983503.5,2400720.0
2013-01-22,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13009084.0,13009084.0,13090000.0
2013-01-22,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-22,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,3572360.5,3572360.5,2260980.0
2013-01-21,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2573506.0,2573506.0,2541000.0
2013-01-21,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-21,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,11555123.0,11555123.0,11680000.0
2013-01-21,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,7251901.0,7251901.0,6936860.0
2013-01-20,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,11741999.0,11741999.0,11750000.0
2013-01-20,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-20,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,1955460.25,1955460.25,1620000.0
2013-01-20,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-19,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-01-19,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12876174.0,12876174.0,12993000.0
2013-01-19,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-19,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-18,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13388649.0,13388649.0,13405000.0
2013-01-18,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,2932980.0,2932980.0,3105000.0
2013-01-18,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,5398101.0,5398101.0,4499700.0
2013-01-18,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-17,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,307435.59,307435.59,309000.0
2013-01-17,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-01-17,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12735834.0,12735834.0,12740000.0
2013-01-17,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3309420.0,3309420.0,3480000.0
2013-01-16,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,2849700.25,2849700.25,2019700.0
2013-01-16,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3360000.0,3360000.0,3480000.0
2013-01-16,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2650594.5,2650594.5,2955860.0
2013-01-16,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13088734.0,13088734.0,13440000.0
2013-01-15,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,4980880.5,4980880.5,4833360.0
2013-01-15,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2649076.5,2649076.5,2683000.0
2013-01-15,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3362040.0,3362040.0,3480000.0
2013-01-15,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12561029.0,12561029.0,12600000.0
2013-01-14,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,6595481.0,6595481.0,6659320.0
